Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,121.2,-92.45,180.0,top
C2,100n,C_0402_1005Metric,121.65,-94.15,90.0,top
C3,100n,C_0402_1005Metric,125.575,-105.6,180.0,top
C4,100n,C_0402_1005Metric,138.25,-104.75,-90.0,top
C5,100n,C_0402_1005Metric,139.97,-88.975,0.0,top
C6,100n,C_0402_1005Metric,125.425,-86.525,0.0,top
C7,4.7u,C_0402_1005Metric,121.225,-91.4,180.0,top
C8,2.2u,C_0402_1005Metric,140.65,-90.725,90.0,top
C9,2.2u,C_0402_1005Metric,136.525,-105.375,0.0,top
C10,10p,C_0402_1005Metric,116.0,-103.0,180.0,top
C11,10p,C_0402_1005Metric,116.905,-88.2,0.0,top
C12,10n,C_0402_1005Metric,121.8,-98.925,90.0,top
C13,1u,C_0402_1005Metric,120.65,-98.925,90.0,top
C14,10n,C_0402_1005Metric,121.8,-100.955,-90.0,top
C15,1u,C_0402_1005Metric,120.675,-100.925,-90.0,top
C16,10u,C_0402_1005Metric,96.85,-102.195,90.0,top
C17,10u,C_0402_1005Metric,107.175,-101.45,-90.0,top
C18,100n,C_0402_1005Metric,107.175,-106.275,-90.0,top
C19,10u,C_0402_1005Metric,96.95,-113.42,90.0,top
C20,10u,C_0402_1005Metric,107.175,-109.05,-90.0,top
C21,100n,C_0402_1005Metric,107.15,-113.42,-90.0,top
C22,100n,C_0402_1005Metric,99.925,-88.15,180.0,top
C23,100n,C_0402_1005Metric,96.345,-91.475,0.0,top
D1,LED_RED,LED_0603_1608Metric,104.925,-99.475,0.0,top
D2,LED_RED,LED_0603_1608Metric,104.925,-116.05,0.0,top
D3,LED_YELLOW,LED_0805_2012Metric,110.325,-80.65,0.0,top
D4,LED_YELLOW,LED_0805_2012Metric,110.325,-82.825,0.0,top
D5,LED_YELLOW,LED_0805_2012Metric,110.325,-85.0,0.0,top
D6,LED_YELLOW,LED_0805_2012Metric,110.35,-87.175,0.0,top
D7,LED_YELLOW,LED_0805_2012Metric,110.35,-89.375,0.0,top
D8,LED_YELLOW,LED_0805_2012Metric,110.4,-91.575,0.0,top
D9,LED_YELLOW,LED_0805_2012Metric,110.425,-93.7,0.0,top
D10,LED_YELLOW,LED_0805_2012Metric,110.45,-95.825,0.0,top
J1,USB_B_Micro_Receptacle,USB_Micro_Receptacle_ShouHanMicroQTJ,93.275,-107.75,180.0,top
J2,USB3_A,USB-A-SMD_U231-091N-4BLRA00-S-1,148.775,-92.425,90.0,top
J3,TestPoints,PinHeader_1x10_P2.54mm_Vertical,120.075,-81.1,180.0,top
J4,FPGA Connector,PinHeader_2x15_P2.54mm_Vertical,114.1,-116.85,180.0,top
R1,100,R_0402_1005Metric,102.275,-99.475,180.0,top
R2,100,R_0402_1005Metric,102.26,-116.05,180.0,top
R3,49.9,R_0402_1005Metric,107.375,-80.65,180.0,top
R4,49.9,R_0402_1005Metric,107.35,-82.8,180.0,top
R5,49.9,R_0402_1005Metric,107.425,-84.975,180.0,top
R6,49.9,R_0402_1005Metric,107.5,-87.15,180.0,top
R7,49.9,R_0402_1005Metric,107.425,-89.375,180.0,top
R8,49.9,R_0402_1005Metric,107.525,-91.55,180.0,top
R9,49.9,R_0402_1005Metric,107.575,-93.7,180.0,top
R10,49.9,R_0402_1005Metric,107.5,-95.825,180.0,top
R11,10k,R_0402_1005Metric,129.025,-86.575,0.0,top
R12,47k,R_0402_1005Metric,145.35,-99.05,0.0,top
R13,47k,R_0402_1005Metric,143.26,-99.075,180.0,top
R14,10k,R_0402_1005Metric,99.85,-91.375,180.0,top
SW1,K2-1102SP-C4SC-04,KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.5-BL,98.075,-84.775,180.0,top
SW2,K2-1102SP-C4SC-04,KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.5-BL,98.125,-94.875,180.0,top
U1,STM32H750VBTx,LQFP-100_14x14mm_P0.5mm,131.25,-96.0,270.0,top
U2,LMS8117A-3.3,SOT-223-3_TabPin2,102.0,-104.025,180.0,top
U3,STMPS2141STR,SOT-23-5,144.25,-96.65,180.0,top
U4,USBLC6-2SC6,SOT-23-6,143.975,-92.4,180.0,top
U5,LMS8117A-3.3,SOT-223-3_TabPin2,102.025,-111.6,180.0,top
Y1,X49SM8MSD2SC,Crystal_SMD_HC49-SD,116.425,-95.575,90.0,top
